project,job_no,address,permit,contractor,phone,manager
#188 Residence,18-0214,"4549 152nd Place SE, Bellevue",17-131032BU,"Seismic Northwest, LP",(831) 566-5535,Jeff
1010 E Republican Apartments,17-0483,"1010 E Republican Street, Seattle",6494343,"Noren Development, LLC",(425) 466-7740,Isaac
1115 34th Avenue Townhomes,17-0404,"1115 34th Avenue, Seattle",6526527,Denizen Development Grou,206-963-4809,Isaac
1214 East Hamlin Street - SIR,18-0204,"1214 E Hamlin St, Seattle",,,(425) 345-5636,Jeff
1222 NE 65th Street,17-0260,"1222 NE 65th Street, Seattle",6538040,"Blueprint Capital Services, L",(425) 530-6061,Jeff
1227 South Weller Street,18-0354,"1227 S Weller Street, Seattle",6538945,"VNM JV, LLC",John Valley,Jeff
12th & John Courtyard Apartments,16-0647,"121 12th Avenue East, Seattle",6471342,Arcon Tenant Improvement,(425) 365-3013,Jeff
1308 Project,18-0409,"1308 3rd Ave West, Seattle",6591683,"Shelter Homes, LLC",(253) 888-9779,Jeff
1411 East Olive - SIR,18-0270,"1411 East Olive Way, Seattle",,,,Jeff
15th Avenue Apartments,18-0364,"5253 15th Avenue NE, Seattle",6495184,Vekst Construction,(509) 429-8514,Isaac
15th Avenue East,17-0221,"1532 15th Avenue East, Seattle",6520935,"Ashworth Homes, LLC",(425) 350-4081,Isaac
15th Avenue NW - South Parcel,18-0029b,"8009 15th Ave NW, Seattle",6494943,Sage Homes N.W.,(425) 919-2247,Jeff
165th Heated Storage,16-0576,"16523 Aurora Avenue North, Shoreline","125,508,125,507","JPR Construction, Inc.",425-350-9857,Walter
1701 Project,16-0091,"1701 37th Avenue, Seattle",6300390,"White's Investments, LLC",,Jeff
1735 NW 62nd Street - North,17-0966b,"1735 NW 62nd Street, Seattle",6538603,"MidCity Builders, LLC",(425) 343-5655,Isaac
1737 NW 62nd Street - All Locations,17-0966,",",,,,Isaac
1737 NW 62nd Street - Middle,17-0966a,"1737 NW 62nd Street, Seattle",6579119,"MidCity Builders, LLC",(425) 343-5655,Isaac
1739 NW 62nd Street - South,17-0966c,"1739 NW 62nd Street, Seattle",6579120,"MidCity Builders, LLC",(425) 343-5655,Isaac
1816 10th Street West,18-0153,"1816 10th St W, Kirkland",,,,Walter
18th Avenue Residence,18-0239,"130 18th Avenue, Kirkland",BSF16-05868,"DC Granger, Inc.",,Isaac
1923 46th Avenue SW Addition,15-0367,"1923 46th Avenue SW, Seattle",6466044,,,Anthony
200 20th Avenue South,18-0056,"200 20th Ave S, Seattle",6494000,"Greenbuild Development, LL",(253) 414-7367,Jeff
2000 Faben Drive Residence,17-0373,"2000 Faben Drive, Mercer Island",,"Toth Construction, Inc.",(206) 730-1422,Walter
2016 NW 64th Street,18-0112,"2016 NW 64th Street, Seattle",6555150,"Roland Development, LLC",(425) 879-5023,Jeff
2017 Local Street Reconst/Water System - C,17-0638,"Various, Auburn",,,(253) 259-6415,Walter
2017 Material Asphalt and Concrete,18-0470,"6th Avenue from Marion Street to James Street,",,,(425) 269-6615,Isaac
2017 Water System Improvements - Gray &,17-0643,"*see comments (Highline Water District),",,Kar-Vel Construction,,Jeff
2020 15th Avenue South,17-0948,"2020 15th Ave S, Seattle",6575793,"TC Consulting, Inc.",(206) 498-3917,Walter
2037 Yale Avenue East,17-0535,"2037 Yale Ave E, Seattle",6500935,"Blueprint Capital Services, L",206-300-9084,Jeff
20th Avenue NE Apartments,17-0768,"4536 20th Avenue NE, Seattle",6563283,STS Construction Services,(206) 396-7709,Isaac
20th Street,17-0430,"16404 NE 20th Street, Bellevue",17108510BR,Sound Design & Constructio,(760) 917-1019,Jeff
2144 Residence,18-0343,"2144 NW 201st Street, Shoreline",SFR17-0661,"Richmond Homes, LLC",(206) 683-5217,Jeff
2204 14th Avenue South,18-0211,"2204 14th Ave South, Seattle",6475928,,(206) 349-6693,Jeff
22nd St. NE & I St. NE Intersection Improve,18-0195,"22nd St. NE & I St. NE, Auburn",,,,Walter
2328 W. Plymouth Street,17-0912,"2328 W. Plymouth Street, Seattle",6522543,"Smart Build, LLC",(206) 859-3095,Jeff
23rd Avenue Apartments,17-0111,"224 23rd Avenue E, Seattle",6456308,"HyBrid Assembly G.C., LLC",(614) 406-3284,Isaac
2519 NE 82nd Street,18-0464,"2519 NE 82nd St, Seattle",6571738,,,Scott
2525 NE 82nd Street,18-0465,"2525 NE 82nd St, Seattle",6571739,,,Scott
2609 E John Street Coring Drilling/ Integrity,18-0163,"2609 E John St, Seattle",,Insignia Development,(425) 280-7614,Walter
26th Avenue Townhomes - East Lot,17-0908,"111 26th Avenue E, Seattle",6492073,C A James,(206) 948-5423,Isaac
2811 NW Market Street - SIR,18-0167,"2811 NW Market St, Seattle",,,(206) 919-8562,Jeff
2935 198th Avenue SE,18-0406,"2935 198th Avenue SE, Issaquah",BLD2018-01191,"Seismic Northwest, LP",(253) 579-9665,Jeff
29th Avenue House,18-0355,"4880 29th Ave S, Seattle",6557061,"HyBrid Assembly G.C., LLC",(614) 406-3284,Isaac
3021 62nd Avenue SW - Single Family Res,18-0122,"3021 62nd Ave SW, Seattle",6597285,"Hutyler Consulting, LLC",(206) 619-6999,Jeff
3023 62nd Avenue SW - Triplex,18-0004,"3023 62nd Avenue SW, Seattle",6597278,"Hutyler Consulting, LLC",206-619-6999,Jeff
3050 SW Avalon Way (Avalon Ave Micro Ho,17-0235,"3050 SW Avalon Way, Seattle",6327295,"McDowell Northwest, Inc.",(206) 890-8790,Walter
333 Residence,18-0275,"333 25th Avenue E, Seattle",6458069,"Dao Property Development,",(206) 226-2557,Isaac
335 Residence,18-0276,"335 25th Avenue E, Seattle",6458076,"Dao Property Development,",(206) 226-2557,Isaac
3617 73rd Avenue SE,18-0236,"3617 73rd Ave SE, Mercer Island",1704207,"Green City Development, LL",(206) 437-8590,Jeff
3814 Emergency Encampment,18-0095,"3814 4th Ave NE, Seattle",,,(253) 380-3039,Anthony
38th - House #2,17-0689,"4821 38th Avenue SW, Seattle",6522459,West Seattle Modern Desig,(253) 332-9765,Isaac
3932 E Mercer Way,18-0117,"3932 E Mercer Way, Mercer Island",,"Kearsley Homes, Inc.",(425) 478-6380,Jeff
3935 2nd Avenue NE,18-0314,"3935 2nd Ave NE, Seattle",6563458,"Shelter Homes, LLC",(206) 388-6972,Jeff
4025 Stone Way N (Job #1801),18-0205,"4025 Stone Way North, Seattle",6586498,"Village Builders, LLC",(206) 240-8997,Jeff
403 Dexter Apartments - Structural,17-0889a,"403 Dexter Avenue N, Seattle",6561170,"Synergy Construction, Inc.",(206) 510-0136,Jeff
4046 8th Avenue NE,17-0587,"4046 8th Avenue NE, Seattle",6392885,"Build Urban, LLC",206-771-1481,Isaac
423 Terry Avenue,16-0630,"423 Terry Avenue, Seattle",6487144,STS Construction Services,(425) 628-0526,Jeff
4451 Residence,18-0087,"4451 E Mercer Way, Mercer Island",1507-214,Meydenbauer Group,(425) 429-4518,Jeff
4525 Rainier Ave. S. Apartments,16-0856,"4525 Rainier Ave. S., Seattle",6463164,"Rainier 4525, LLC",(978) 265-7838,Walter
4527 Rainier Ave. S. Apartments,16-0857,"4527 Rainier Ave. S., Seattle",6463189,"Rainier 4525, LLC",(978) 265-7838,Walter
45th & Woodlawn,16-0141,"1601 N. 45th St. & 4422 Woodlawn Ave N., Sea","6467882, 6464513",SACO Construction Corpora,(425) 864-4094,Jeff
4801 Fauntleroy Way SW,16-0792,"4801 Fauntleroy Way SW, Seattle",6519881,"Village Builders, LLC",(206) 240-8997,Isaac
48th Street Multi-Family Home,18-0301,"616 N 48th Street, Seattle",6618966,Grouse Mountain Improvem,(360) 801-2648,Jeff
5011 Project,18-0340,"5011 112th Ave NE, Kirkland",BSF17-04413,"DC Granger, Inc.",(206) 459-0007,Isaac
505 Madison Street - SIR,18-0362,"505 Madison Street, Seattle",,,,Jeff
58th Street,17-0791,"2226 NW 58th St, Seattle",6489133,"MidCity Builders, LLC",(425) 343-5655,Isaac
5936 36th Avenue South SIP,18-0412,"5936 36th Ave S, Seattle",304826,"Ashworth Homes, LLC",425-350-4081,Jeff
5th Avenue Townhomes,18-0234,"1918 5th Avenue North, Seattle",6570113,"Teak Construction, LLC",(919) 961-8583,Jeff
6 Nickerson Building,18-0391,"6 Nickerson Street, Seattle",,,,Walter
608 Upholstery Job,17-0938,"608 N 105th Street, Seattle",6552911,"Ryan Cleveland Services, L",(206) 683-4323,Isaac
6301 15th Avenue NW,16-0723,"6301 15th Avenue NW, Seattle",6395391,"Noren Development, LLC",(626) 716-2550,Jeff
6th Street Signal Projects,18-0416,"6th St & 9th St and 9th St & Kirkland Way, Kirkl",,"Johansen Excavating, Inc.",,Anthony
700 Dexter Avenue N Shoring,12-0157,"700 Dexter Avenue N, Seattle",DPD:6319277 / S,,,Anthony
701 Shoreland Dr SE,18-0135,"701 Shoreland Dr SE, Bellevue",16 149043 BS,"Claremont Construction, Inc.",(425) 239-4688,Jeff
7219 56th Avenue NE,18-0237,"7219 56th Ave NE, Seattle",6585698,Seadog Construction,(206) 779-1301,Jeff
73rd Street Apartments,18-0088,"417 NE 73rd Street, Seattle",6460788,"Square Peg Construction, L",,Jeff
76 Gas Station - Kirkland,18-0107,"12235 NE 116th Street, Kirkland",,"Rainier Industries, Ltd.",(425) 981-1273,Jeff
8100 North Garden,17-0968,"8100 Evergreen Lane, Mercer Island",1707-252,"Krekow Jennings, Inc.",(206) 954-5063,Jeff
811 & 813 Residences,18-0278,"811 and 813 S. Warsaw Street, Seattle",6550274,"Lo, Jimmy",(206) 227-6752,Jeff
811 E Boston Townhouse,17-0907,"811 E Boston Street, Seattle",6546751,Seadog Construction,(206) 779-1301,Jeff
8201 Project,18-0305,"8201 232nd Street SE, Woodinville",16-106023-RK,Global Design & Constructio,(360) 202-6641,Jeff
8366 31st Avenue Northwest,18-0143,"8366 31st Ave NW, Seattle",6593126,"LDB Homes, LLC",(206) 459-9289,Jeff
8559 Mary Avenue NW Project,17-0513,"8559 Mary Avenue NW, Seattle",6486960,"Noren Development, LLC",(206) 965-5093,Isaac
96th Street Residence,18-0102,"2141 NW 96th Street, Seattle",6485421,"RD Homes, LLC",(360) 303-2773,Isaac
98th Street SIR,18-0317,"2101 NW 98th Street, Seattle",,,(206) 409-0759,Jeff
Adamson Residence,18-0424,"2643 38th Ave W, Seattle",6654158,Joseph McKinstry Constructi,(206) 948-5511,Isaac
Admiral Way LLC,18-0207,"6001 Admiral Way SW, Seattle",6570799,,(206) 250-9845,Jeff
Airport Dining & Retail Infrastructure Modifica,18-0295,"Central Terminal, SeaTac International Airport,",,Osborne Construction Comp,(425) 553-5347,Isaac
Aitonean Residence,18-0353,"3848 165th Place SE, Bellevue",16-132765BR,"Aitonean, Chris",(206) 713-5967,Walter
Akosua Amaonwu,18-0419,"5618 40th Ave W, Seattle",6572592,Betancourt Construction,,Isaac
Alaska Place,18-0203,"2800 S. Alaska Place, Seattle",6511687,"Valentine Homes, LLC",(206) 850-0068,Jeff
Alberta J Canada Bldg,18-0209,"1114 South 11th Street, Tacoma",BLD CA17-0252,"CDK Construction Services,",,Jeff
Alley Improvements,18-0331,"632 NW 85th St., Seattle",312088,MP Services Inc.,(206) 295-1416,Jeff
Alma Residence,16-0148,"3019 60th Avenue SE, Mercer Island",1502-156,Bender Custom Constructio,(425) 985-0985,Jeff
Aloha,16-0648,"750 11th Avenue East, Seattle",6453779,Arcon Tenant Improvement,425-754-8168,Walter
AMLI Ballard Burncycle,18-0104,"2420 NW Market Street, Seattle",6582149,"Dyna Contracting, Inc.",(310) 613-8974,Walter
Amtrak KSCY Locomotive Facility,17-0617,"187 S. Holgate Street, Seattle",N/A,"PCL Construction Services,",,Walter
Amtrak KSCY Locomotive Facility - Piling,17-0670,"187 S. Holgate Street, Seattle",N/A,"Pacific Pile & Marine, LP",,Walter
Anders Triplex,18-0356,"1202 5th Avenue North, Seattle",6568506,"Gamut360 Holdings, LLC",(206) 370-0721,Isaac
Anderson Addition,18-0282,"7624 Douglas Avenue SE, Snoqualmie",RES2018-004,"Inclign, LLC",(253) 232-6696,Isaac
Ann Taylor - Lynnwood,18-0142,"3000 184th St SW, Lynnwood",,,(503) 381-6329,Jeff
Apostol Residence,17-0857,"4708 46th Ave SW, Seattle",6574964,Manor Construction,(206) 228-3473,Isaac
Apple Store (Seattle),18-0256,"2651 NE 49th Street, Seattle",,,(661) 400-1051,Jeff
Arensberg Residence,18-0273,"4430 193rd Ave SE, Issaquah",BLD16-00415,"Batura Construction, LLC",(425) 890-8306,Isaac
Armstrong Shaughnessy,18-0422,"16014 154th Avenue NE, Woodinville",DWEL17-07345,"Inglewood Construction, Inc.",(206) 992-3603,Walter
Arthur Residence,18-0175,"11 Lummi Key, Bellevue",18-103453BU,Rainier Custom Homes,(206) 445-8307,Jeff
Ashman-Gilliand Residence,18-0010,"122 N 59th Street, Seattle",6588445,"CDB General Contractors, L",(360) 204-9928,Jeff
Assisted Living,17-0546,"5214 42nd Avenue South, Seattle",6547394,"Marpac Construction, LLC",(206) 229-9231,Isaac
Atchison Residence,17-0922,"3909 Howell St, Seattle",6565146,Schuchart-Dow Construction,(206) 510-2371,Walter
Auburn North,18-0439,"Auburn Way N & 15th St. NE, Auburn",,AC Moate Industries,(206) 510-8241,Jeff
Auto Nation Carwash & Auto Detail Facility (,18-0432,"2221 120th Ave NE, Bellevue",17 107594 BM,"Foushee and Associates, In",(425) 417-5238,Walter
Auto Nation Ford of Bellevue - Ford Service,17-0988,"411 116th Ave NE, Bellevue",17-130536BZ,"Foushee and Associates, In",(425) 417-9162,Walter
Auto Nation Mercedes-Benz of Bellevue - HB,18-0184,"11850 Bel-Red Road, Bellevue",,,(805) 665-7194,Isaac
Avinger-Murray Residence,18-0426,"414 16th Avenue East, Seattle",,Ambrose Construction,(224) 595-4548,Jeff
B-26 Renovation Health and Life Sciences B,18-0385,"2400 S. 240th Street, Des Moines",,"Pease Construction, Inc.",,Jeff
Bakerview - Taco Time,18-0044,"4100 Arctic Ave, Bellingham",BLD 2016-20657,"L.D. Sanders Construction,",(360) 239-2308,Isaac
Ballard Orthodontics,18-0217,"1400 NW Market Street, Seattle",6638306,"Plumb Signs, Inc.",(253) 381-6854,Jeff
Ballinger Heated Storage,17-0671,"20029 19th Avenue NE, Shoreline",COM17-0037,"JPR Construction, Inc.",(425) 876-0265,Walter
Bannon Voluntary Retrofit,18-0180,"19505 NE 165th Street, Woodinville",,"A-FFIX, LLC - RETAINER R",(206) 227-4869,Jeff
Banzai Sushi Mezzanine,18-0290,"2141 S 211th Street, Suite G, Des Moines",BLD2018-0233,,(253) 737-8398,Isaac
Banzai Tank Installation,18-0170,"2141 S 211th St, Suite G, Des Moines",BLD2017-1558,,(253) 737-8398,Jeff
Bartos Abode (Residence),18-0158,"1724 NE 14th, Renton",B17002587,"Old Town Builders, LLC",(425) 495-6682,Jeff
Baty Residence,18-0244,"6435 NE Windermere Road, Seattle",6574420,Joseph McKinstry Constructi,,Jeff
Bede Residence,18-0185,"1027 36th Ave E, Seattle",6571443,"Creative Contracting, Inc.",(206) 226-3193,Jeff
Bedrooms and More,14-0864,"324 NE 45th Street, Seattle",6251303,"SCL Enterprises, LLC",(206) 229-6038,Jeff
Beierle Detached Shop,18-0366,"12833 183rd Street SE, Snohomish",17-102059AB,"Beierle, Ben",(425) 877-0728,Isaac
Bellevue 3 - Lot 1,17-0202b,"10333 10th Street SE, Bellevue",16141221-BS,"RM Homes, LLC",(425) 491-1354,Walter
Bellevue 3 - Lot 3,17-0202a,"1013 104th Avenue SE, Bellevue",,"RM Homes, LLC",(253) 486-8622,Walter
Bellevue 8 - East,18-0199,"10720 SE 2nd Street, Bellevue",16-126508,Envision Northwest,(206) 330-0269,Jeff
Bellevue 8 - West,18-0200,"10676 SE 2nd Street, Bellevue",16-126227,Envision Northwest,(206) 330-0269,Jeff
Bellevue BMW,17-0979,"11959 Northup Way, Bellevue",17-110859 BB,"Foushee and Associates, In",(425) 417-5238,Jeff
Bellevue BMW - Braced Frames TI,17-0979a,"11959 Northup Way, Bellevue",18-102931 BZ,"Foushee and Associates, In",(425) 417-5238,Jeff
Bellevue Project,18-0154,"3658 122nd Ave SE, Bellevue",16-131284BS,"High Country Homes, Inc.",(253) 227-4198,Jeff
Ben Bridge Jeweler,18-0334,"81 Southcenter Mall, Tukwila",D18-0042,Shrader & Martinez Constru,(928) 202-1257,Isaac
Bernhardt Creek Landslide Repair,18-0377,"Milepost 1.82 Bernhardt Creek Road, Mapleton,",,Condon-Johnson & Associat,(425) 231-1398,Isaac
Bhy Kracke Park Slope Stabilization,18-0228,"1215 5th Avenue North, Seattle",6553193,"Bayshore Concrete, LLC",,Walter
Big Fish Games,17-0919,"911 Western Ave, Maritime Bldg., fls. 2 - 7, Sea",6592007,"Abbott Construction, Inc.",,Walter
Biggs Residence,17-0223,"22516 9th Avenue SE, Bothell",BSF2017-15734,,,Anthony
Bishop Blanchet High School,17-0286,"8200 Wallingford Avenue North, Seattle",6489379,Joseph S. Simmons Constru,,Walter
Blau-Ogier Renovations,18-0272,"18709 58th Ave NE, Kenmore",BLD18-0060,Blox Construction,(425) 577-4128,Anthony
Block 11 - Structural,16-0866,"1255 Harrison Street, Seattle",6450010,"Exxel Pacific, Inc.",253-359-6218,Jeff
Block 25 - All buildings/phases,17-0064,"Fairview Avenue/Boren Avenue, Seattle",,"GLY Construction, Inc.",,Jeff
Block 25E - Structural,17-0064c,"609 Fairview Avenue North, Seattle",6471434,"GLY Construction, Inc.",(425) 765-0283,Jeff
Block 25E TI,18-0428,"630 Boren Avenue North, Seattle",(pending),"GLY Construction, Inc.",,Jeff
Block 25W - Structural,17-0064d,"630 Boren Avenue North, Seattle",6528917,"GLY Construction, Inc.",(425) 998-3879,Jeff
Block 25W TI,18-0427,"630 Boren Avenue North, Seattle",(pending),"GLY Construction, Inc.",,Jeff
Block 31 - Structural,17-0068a,"625 Boren Avenue North, Seattle",6528924,"GLY Construction, Inc.",(425) 998-3879,Jeff
Block 47,17-0217,"910 John Street, Seattle",6462238,WG Clark Construction Com,(206) 255-7038,Jeff
Block 52 West - Structural,16-0867a,"300 8th Avenue North, Seattle",6355538,"Lease Crutcher Lewis, Inc.",,Jeff
Block 57 East - Structural,16-0868a,"333 8th Avenue North, Seattle",6355565,"Lease Crutcher Lewis, Inc.",,Jeff
Blu Dot Seattle,18-0109,"401 East Pine Street, Seattle",6588836,Deacon Construction,,Isaac
BNSF Auburn Retaining Walls Project,18-0098,"1301 A Street SE, Auburn",,,916-436-6560,Walter
Boeing - 777X FBJ Saddle Tooling Fambu (E,18-0152,", Everett",,"Electroimpact, Inc.",,Isaac
Boeing - Airplane Stall Expansion - B-Line an,16-0594,"8010 East Marginal Way, Tukwila",GRDE16-0015,Gary Merlino Construction C,206-391-4938,Walter
Boeing - Apron D Utility Replacement Project,18-0042,"401 Logan Ave N, Renton",,IMCO General Construction,(360) 410-8927,Walter
Boeing - Bldg. 17-06 - Install High Speed Sp,14-0481,"Bldg. 17-06, Auburn",ALT14-0040,"Lease Crutcher Lewis, Inc.",(206) 660-8538,Walter
Boeing - Bldg. 17-06 Spar Check Fixtures -,16-0637,"Bldg. 17-06, Auburn",,Clements General Construct,,Walter
Boeing - Bldg. 17-07 Dual Gantry Foundation,16-0009,"Bldg. 17-07, Auburn",,Advanced Technology Const,(360) 515-6206,Walter
Boeing - Bldg. 17-07 EO 5 Axis Hard Metal H,17-0391,"Bldg. 17-07, Auburn",TEN17-0041,"Dahlgren Industrial, Inc.",(206) 423-9084,Walter
Boeing - Bldg. 17-07 Install Generator,17-0998,"Bldg. 17-07, Auburn",,Clements General Construct,,Walter
Boeing - Bldg. 17-09 Install Air Dryer on Roof,18-0093,"Bldg. 17-09, Auburn",TEN17-0156,"Lease Crutcher Lewis, Inc.",(253) 249-8538,Walter
Boeing - Bldg. 17-10 ATS,18-0281,"Bldg. 17-10 Col D/4, Auburn",TEN 16-0013,"Lease Crutcher Lewis, Inc.",(253) 391-6496,Walter
Boeing - Bldg. 17-10 CTSC Install Washer Fi,18-0172,"Bldg. 17-10, Auburn",,The Boeing Company,(253) 657-2323,Walter
Boeing - Bldg. 17-10 Replace Coating Cham,16-0688,"Bldg. 17-10 Col. A-B/5-6, Auburn",,,,Walter
Boeing - Bldg. 17-12 Brushless Motor Drive,18-0293,"Bldg. 17-12, Auburn",Pending,"Dahlgren Industrial, Inc.",(206) 437-0406,Walter
Boeing - Bldg. 17-45 Hydro Press Installation,17-0410,"Bldg. 17-45, Auburn",TEN17-0042,Omega General Contractors,(206) 255-7486,Walter
Boeing - Bldg. 17-45 IAS Freezer for Sheet L,18-0258,"Bldg. 17-45, Auburn",n/a,Clements General Construct,,Walter
Boeing - Bldg. 17-45 IAS Right Size Laser,18-0212,"Bldg. 17-45, Auburn",,Clements General Construct,(253) 793-3946,Walter
Boeing - Bldg. 17-45 Taper Strip Mill,18-0393,"Bldg. 17-45, Auburn",TEN18-0078,Omega Riggers & Erectors,(253) 426-2294,Walter
Boeing - Bldg. 17-45 Yoder Rearrange Part 2,16-0934,"Bldg. 17-45, Col A.2-A.4/7.6-7.8, Auburn",,"Dahlgren Industrial, Inc.",,Walter
Boeing - Bldg. 17-68 85 Ton Press Hatch,18-0155,"Bldg. 17-68, Auburn",none,Clements General Construct,(206) 793-4260,Walter
Boeing - Bldg. 17-68 AMS Laser Replaceme,18-0048,"Bldg. 17-68, Auburn",TEN17-0132,Clements General Construct,(206) 255-1034,Walter
Boeing - Bldg. 17-75 New Equipment,18-0435,"Bldg. 17-75, Auburn",,"Lease Crutcher Lewis, Inc.",(206) 660-8538,Walter
Boeing - Bldg. 17-75 Workforce Readiness,17-0051,"Bldg. 17-75, Auburn",GRA16-0020/BLD,"Lease Crutcher Lewis, Inc.",(206) 510-5134,Walter
Boeing - Bldg. 17-88 ORC,18-0106,"Bldg. 17-88 (S. end of Boeing), Auburn",,"Lease Crutcher Lewis, Inc.",,Walter
Boeing - Bldg. 24-40 Replace Chiller Cooling,17-0683,"Bldg. 24-40, Frederickson",841764/ 841715,Schuchart Corporation,,Walter
Boeing - Bldg. 24-60 Cantilever Rack,18-0357,"Bldg. 24-60, Frederickson",,The Boeing Company,(253) 298-2442,Walter
Boeing - Bldg. 24-60 Double Plus Chord #4,18-0220,"18001 Canyon Rd East, Bldg. 24-60, Fredericks",880790,"Lease Crutcher Lewis, Inc.",(206) 396-5421,Walter
Boeing - Bldg. 24-60 Double Plus Chord Mill,17-0688,"Bldg. 24-60, Fredrickson",866692,"Lease Crutcher Lewis, Inc.",(253) 548-7532,Walter
Boeing - Bldg. 24-60 Install Overhead Tracer,17-0845,"Bldg. 24-60, Frederickson",,Clements General Construct,(206) 793-4260,Walter
Boeing - Bldg. 24-60 Makino T-Chord Mill Ca,18-0350,"Bldg. 24-60, Frederickson",881546,"Lease Crutcher Lewis, Inc.",(253) 255-5284,Walter
Boeing - Bldg. 40-04 Steam Header,17-0060,"Bldg. 40-04, Everett",,Greenberry Industrial,,Walter
Boeing - Bldg. 40-04 Steam Line Reroute,17-0927,"Bldg. 40-04, Everett",,Greenberry Industrial,360-739-8262,Walter
Boeing - Bldg. 40-05 777x Palletized Racewa,18-0283,"Bldg. 40-05, Everett",,Washington Patriot Constru,(253) 380-9918,Walter
Boeing - Bldg. 40-22 LRA Relocation FAMB,18-0213,"Bldg 40-22, Everett",,General Construction,(425) 330-3117,Walter
Boeing - Bldg. 40-24 - 2704 Boom,17-0987,"Bldg. 40-24, Everett",,Kiewit General,(425) 330-3117,Walter
Boeing - Bldg. 40-24 777x Factory Transfor,17-0378,"Bldg. 40-24, Everett",,General Construction Comp,,Walter
Boeing - Bldg. 40-25 Final Body Join (FBJ),18-0197,"Bldg. 40-25, Everett",,General Construction Comp,(360) 815-2387,Walter
Boeing - Bldg. 40-25 FT - 777 Wing Body Jo,18-0084,"Bldg. 40-025, Everett",,General Construction Comp,(360) 815-2387,Walter
Boeing - Bldg. 40-25 FT - 777x SI Gleason P,18-0196,"Bldg. 40-25, Everett",,General Construction Comp,(360) 815-2387,Walter
Boeing - Bldg. 40-25 FT Wing Body Join (M,18-0445,"Bldg. 40-25, Everett",,General Construction Comp,(360) 815-2387,Walter
Boeing - Bldg. 40-27 777X Mid Bodies Positi,18-0247,"Bldg. 40-27, Everett",,General Construction Comp,,Walter
Boeing - Bldg. 40-33 767 Long Load Design,18-0026,"Bldg. 40-33, Everett",,General Construction Comp,,Walter
Boeing - Bldg. 40-41 777x Fatigue Structure,18-0027,"Bldg. 40-41, Everett",B1712-026,Skanska USA Commercial,(206) 799-7710,Walter
Boeing - Bldg. 40-54 VLM Install,18-0442,"Building 40-54, Everett",n/a,Raymond Handling Concept,(253) 243-5708,Walter
Boeing - Bldg. 40-56 Automatic Silk Screen,18-0450,"Bldg. 40-56, Everett",,Skanska USA Commercial,,Walter
Boeing - Bldg. 40-56 HPS Upgrade,17-0434,"Bldg. 40-56, Everett",,Greenberry Industrial,,Walter
Boeing - Bldg. 40-56 IRC Integrated Paint Fa,17-0715,"Bldg. 40-56, Everett",B1707-052,Skanska USA Commercial,(206) 919-8056,Walter
Boeing - Bldg. 40-56 LSAM Printer,18-0294,"Bldg. 40-56, Everett",,Skanska USA Commercial,(206) 316-7117,Walter
Boeing - Bldg. 40-58 777X Hydronic Heating,16-0622,"Bldg. 40-58, Everett",,,,Walter
Boeing - Bldg. 40-58 Autoclave Plate Load T,18-0279,"Bldg. 40-58, Everett",,ASC Process Systems,,Anthony
Boeing - Bldg. 40-58 Crane Rail Realignment,17-0377,"Bldg. 40-58, Everett",,,,Walter
Boeing - Bldg. 40-58 PGD Stringer Debag P,18-0411,"Bldg. 40-58 Col E3, Everett",,Hoffman Construction,,Walter
Boeing - Bldg. 40-58 PGT Stringer Trim & Dr,15-0674,"Bldg. 40-58 WBS #1.4.2.2.05, Everett",,Hoffman Construction Comp,,Walter
Boeing - Bldg. 40-58 PHP-2 Panel Paint Pha,17-0696,"Bldg. 40-58, Everett",,Hoffman Construction Comp,,Walter
Boeing - Bldg. 40-58 PHX Panel Repair,17-0137,"Bldg. 40-58, Everett",,,,Walter
Boeing - Bldg. 40-58 Spar Lamination Phase,18-0460,"Bldg. 40-58, Everett",,Hoffman Construction,,Walter
Boeing - Bldg. 40-58 USK Blower #2 Installat,18-0181,"Bldg. 40-58, Everett",,General Construction,425-315-2769/ (52,Walter
